,close,high,low,open,time,volumefrom,volumeto,timestamp,fluc
0,0.236,0.2466,0.1886,0.2137,1515110400,3432487.28,810067.0,2018-01-04 19:00:00,0.058000000000000024
1,0.2898,0.2949,0.2214,0.2456,1515196800,14455987.44,4189345.16,2018-01-05 19:00:00,0.07349999999999998
2,0.3856,0.3934,0.2638,0.3241,1515283200,13902177.16,5360679.51,2018-01-06 19:00:00,0.12960000000000005
3,0.4397,0.4533,0.3579,0.3874,1515369600,10080133.66,4432234.77,2018-01-07 19:00:00,0.09539999999999998
4,0.6472,0.6756,0.4796,0.5002,1515456000,16525140.81,10695071.13,2018-01-08 19:00:00,0.19599999999999995
5,0.4784,0.642,0.361,0.6395,1515542400,15389366.99,7362273.17,2018-01-09 19:00:00,0.281
6,0.319,0.4375,0.311,0.4352,1515628800,11998254.1,3827443.06,2018-01-10 19:00:00,0.1265
7,0.3518,0.4451,0.3279,0.3506,1515715200,11476776.4,4037529.94,2018-01-11 19:00:00,0.11719999999999997
8,0.3227,0.4114,0.2216,0.3878,1515801600,11482362.18,3705358.28,2018-01-12 19:00:00,0.1898
9,0.2569,0.348,0.2325,0.3168,1515888000,8461156.61,2173671.13,2018-01-13 19:00:00,0.11549999999999996
10,0.2174,0.2685,0.1765,0.243,1515974400,9078920.81,1973757.38,2018-01-14 19:00:00,0.09200000000000003
11,0.1743,0.1932,0.1386,0.1775,1516060800,9376315.49,1634291.79,2018-01-15 19:00:00,0.05460000000000001
12,0.1944,0.2116,0.1486,0.1701,1516147200,10616719.92,2063890.35,2018-01-16 19:00:00,0.063
13,0.1696,0.2023,0.169,0.1931,1516233600,16386452.96,2779142.42,2018-01-17 19:00:00,0.033299999999999996
14,0.1644,0.1773,0.1523,0.1737,1516320000,12290638.21,2020580.92,2018-01-18 19:00:00,0.025000000000000022
15,0.2016,0.2133,0.1661,0.1825,1516406400,8939931.62,1802290.21,2018-01-19 19:00:00,0.04719999999999999
16,0.1695,0.186,0.1622,0.1838,1516492800,7292206.45,1236028.99,2018-01-20 19:00:00,0.023799999999999988
17,0.1478,0.1674,0.1452,0.1612,1516579200,15710747.76,2322048.52,2018-01-21 19:00:00,0.022199999999999998
18,0.1385,0.1551,0.1371,0.1456,1516665600,16979361.12,2351641.52,2018-01-22 19:00:00,0.017999999999999988
19,0.1613,0.172,0.1445,0.1494,1516752000,17272356.44,2786031.09,2018-01-23 19:00:00,0.027499999999999997
20,0.1724,0.1806,0.1571,0.1588,1516838400,19075707.97,3288652.05,2018-01-24 19:00:00,0.02350000000000002
21,0.162,0.1732,0.151,0.1726,1516924800,15694205.81,2542461.34,2018-01-25 19:00:00,0.022199999999999998
22,0.1648,0.1789,0.1579,0.1714,1517011200,16623393.13,2739535.19,2018-01-26 19:00:00,0.02099999999999999
23,0.1693,0.1868,0.1585,0.1828,1517097600,20058482.31,3395901.06,2018-01-27 19:00:00,0.028299999999999992
24,0.15,0.1618,0.1455,0.161,1517184000,18895052.6,2834257.89,2018-01-28 19:00:00,0.01630000000000001
25,0.1232,0.147,0.12,0.1364,1517270400,16568704.25,2041264.36,2018-01-29 19:00:00,0.026999999999999996
26,0.1311,0.1347,0.1256,0.1285,1517356800,28488393.65,3734828.41,2018-01-30 19:00:00,0.009099999999999997
27,0.1057,0.1368,0.0954,0.1212,1517443200,23911834.44,2527480.9,2018-01-31 19:00:00,0.041400000000000006
28,0.1016,0.1031,0.08899,0.09459,1517529600,12805954.51,1301084.98,2018-02-01 19:00:00,0.014109999999999998
29,0.1151,0.1181,0.1006,0.1074,1517616000,20985879.22,2415474.7,2018-02-02 19:00:00,0.0175
30,0.09029,0.1002,0.08863,0.09823,1517702400,22211966.16,2005518.42,2018-02-03 19:00:00,0.011569999999999997
31,0.06508,0.07701,0.06104,0.07674,1517788800,23413517.85,1523751.74,2018-02-04 19:00:00,0.015969999999999998
32,0.08541,0.09789,0.07021,0.07432,1517875200,21138711.6,1805457.36,2018-02-05 19:00:00,0.02768000000000001
33,0.08458,0.09337,0.07954,0.083,1517961600,25709205.08,2174484.57,2018-02-06 19:00:00,0.013829999999999995
34,0.09209,0.096,0.09055,0.09136,1518048000,12935804.59,1191258.24,2018-02-07 19:00:00,0.0054499999999999965
35,0.09911,0.1003,0.09332,0.09929,1518134400,11535397.57,1143273.25,2018-02-08 19:00:00,0.00698
36,0.09129,0.09911,0.08788,0.09579,1518220800,7168428.22,654405.81,2018-02-09 19:00:00,0.011230000000000004
37,0.08388,0.08794,0.07802,0.08713,1518307200,7522379.69,630977.21,2018-02-10 19:00:00,0.009919999999999998
38,0.111,0.1153,0.08869,0.08947,1518393600,12309807.85,1366388.67,2018-02-11 19:00:00,0.026609999999999995
39,0.1097,0.1186,0.105,0.1085,1518480000,11223130.97,1231177.47,2018-02-12 19:00:00,0.013600000000000001
40,0.1249,0.1266,0.1132,0.1201,1518566400,7711196.99,963128.5,2018-02-13 19:00:00,0.013399999999999995
41,0.1218,0.1279,0.1207,0.126,1518652800,7637552.98,930253.95,2018-02-14 19:00:00,0.007200000000000012
42,0.1217,0.1237,0.1172,0.1231,1518739200,5961120.71,725468.39,2018-02-15 19:00:00,0.006500000000000006
43,0.1233,0.1295,0.1198,0.1264,1518825600,6571562.5,810273.66,2018-02-16 19:00:00,0.0097
44,0.106,0.1166,0.1046,0.1156,1518912000,7073650.57,749806.96,2018-02-17 19:00:00,0.011999999999999997
45,0.1103,0.1133,0.1059,0.1088,1518998400,5747464.6,633945.35,2018-02-18 19:00:00,0.007400000000000004
46,0.08784,0.1052,0.08693,0.104,1519084800,8672619.79,761802.92,2018-02-19 19:00:00,0.01827000000000001
47,0.08653,0.09023,0.08281,0.08334,1519171200,7794702.51,674475.61,2018-02-20 19:00:00,0.00742000000000001
48,0.08288,0.08674,0.07936,0.08288,1519257600,5942238.6,492492.74,2018-02-21 19:00:00,0.007379999999999998
49,0.08803,0.08872,0.0821,0.08821,1519344000,5700816.2,501842.85,2018-02-22 19:00:00,0.006619999999999987
50,0.0812,0.08735,0.08047,0.08585,1519430400,6059996.59,492071.72,2018-02-23 19:00:00,0.006879999999999997
51,0.08126,0.08352,0.07657,0.08187,1519516800,5895517.94,479069.79,2018-02-24 19:00:00,0.006949999999999998
52,0.0849,0.08772,0.08042,0.08371,1519603200,7871952.58,668328.77,2018-02-25 19:00:00,0.007300000000000001
53,0.08489,0.08659,0.0829,0.08529,1519689600,6107824.83,518493.25,2018-02-26 19:00:00,0.003689999999999999
54,0.07891,0.08323,0.07701,0.0832,1519776000,5990698.96,472726.05,2018-02-27 19:00:00,0.006220000000000003
55,0.08165,0.08566,0.07916,0.08068,1519862400,6202371.25,506423.61,2018-02-28 19:00:00,0.006500000000000006
56,0.07737,0.08097,0.07576,0.08039,1519948800,6588027.66,509715.7,2018-03-01 19:00:00,0.005210000000000006
57,0.08873,0.1078,0.07251,0.07739,1520035200,12084227.0,1072233.46,2018-03-02 19:00:00,0.03529
58,0.07979,0.09046,0.07821,0.09012,1520121600,8850775.67,706203.39,2018-03-03 19:00:00,0.012249999999999997
59,0.0797,0.08808,0.07405,0.07835,1520208000,11032627.72,879300.43,2018-03-04 19:00:00,0.01403
60,0.07481,0.08206,0.07316,0.07647,1520294400,65077776.68,4868468.47,2018-03-05 19:00:00,0.008899999999999991
61,0.06354,0.0704,0.06155,0.0689,1520380800,65061446.69,4134004.32,2018-03-06 19:00:00,0.008850000000000004
62,0.05531,0.05978,0.05137,0.05937,1520467200,9757716.12,539699.28,2018-03-07 19:00:00,0.00841
63,0.05138,0.05836,0.05135,0.05759,1520553600,8413976.06,432310.09,2018-03-08 19:00:00,0.007010000000000002
