,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.3069,0.3143,0.2973,0.3079,1516752000,1357708.62,416680.78,2018-01-23 19:00:00
1,0.271,0.3087,0.2407,0.3024,1516838400,6314717.61,1711288.47,2018-01-24 19:00:00
2,0.2684,0.2768,0.2422,0.2674,1516924800,6088800.87,1634234.15,2018-01-25 19:00:00
3,0.3283,0.3283,0.2651,0.2839,1517011200,14338657.09,4707381.12,2018-01-26 19:00:00
4,0.3892,0.4064,0.3325,0.3645,1517097600,5983187.46,2328656.56,2018-01-27 19:00:00
5,0.3323,0.4188,0.3042,0.3697,1517184000,4977671.26,1654080.16,2018-01-28 19:00:00
6,0.2681,0.3255,0.25,0.3021,1517270400,1946538.58,521866.99,2018-01-29 19:00:00
7,0.2801,0.2801,0.2801,0.2801,1517356800,0.0,0.0,2018-01-30 19:00:00
8,0.2586,0.2586,0.2586,0.2586,1517443200,0.0,0.0,2018-01-31 19:00:00
9,0.2578,0.267,0.2294,0.2395,1517529600,1313576.84,338640.11,2018-02-01 19:00:00
10,0.2816,0.2893,0.2583,0.2728,1517616000,1433854.7,403773.48,2018-02-02 19:00:00
11,0.2441,0.245,0.2143,0.24,1517702400,1284476.02,313540.6,2018-02-03 19:00:00
12,0.1821,0.2057,0.1599,0.205,1517788800,2854478.99,519800.62,2018-02-04 19:00:00
13,0.2261,0.2284,0.1798,0.2057,1517875200,3114133.07,704105.49,2018-02-05 19:00:00
14,0.1977,0.2255,0.194,0.2188,1517961600,2123592.16,419834.17,2018-02-06 19:00:00
15,0.214,0.2262,0.1896,0.2188,1518048000,1733564.75,370982.86,2018-02-07 19:00:00
16,0.2239,0.237,0.2116,0.2309,1518134400,995281.9,222843.62,2018-02-08 19:00:00
17,0.194,0.2246,0.1914,0.2169,1518220800,1191104.09,231074.19,2018-02-09 19:00:00
18,0.1979,0.2085,0.172,0.1825,1518307200,1384172.99,273927.83,2018-02-10 19:00:00
19,0.212,0.2198,0.1964,0.2085,1518393600,1247429.77,264455.11,2018-02-11 19:00:00
20,0.1977,0.2083,0.19,0.206,1518480000,1546942.87,305830.61,2018-02-12 19:00:00
21,0.2182,0.2324,0.2052,0.2163,1518566400,1054322.47,230053.16,2018-02-13 19:00:00
22,0.2171,0.2257,0.2069,0.2199,1518652800,1120250.35,243206.35,2018-02-14 19:00:00
23,0.2148,0.2242,0.2111,0.2195,1518739200,650559.95,139740.28,2018-02-15 19:00:00
24,0.2244,0.2398,0.2222,0.2291,1518825600,917291.03,205840.11,2018-02-16 19:00:00
25,0.2093,0.2166,0.1919,0.2121,1518912000,970369.5,203098.34,2018-02-17 19:00:00
26,0.2016,0.2199,0.2008,0.2152,1518998400,1093477.55,220445.07,2018-02-18 19:00:00
27,0.1851,0.2173,0.1728,0.1931,1519084800,2303242.25,426330.14,2018-02-19 19:00:00
28,0.1764,0.1863,0.1627,0.1756,1519171200,1289322.66,227436.52,2018-02-20 19:00:00
29,0.1694,0.1827,0.1604,0.169,1519257600,1384193.89,234482.44,2018-02-21 19:00:00
30,0.1744,0.1846,0.165,0.1799,1519344000,1066263.95,185956.43,2018-02-22 19:00:00
31,0.1587,0.1709,0.1294,0.17,1519430400,875115.98,138880.91,2018-02-23 19:00:00
32,0.147,0.1681,0.1434,0.16,1519516800,878827.3,129187.61,2018-02-24 19:00:00
33,0.1501,0.157,0.1458,0.1518,1519603200,1143383.73,171621.9,2018-02-25 19:00:00
34,0.1481,0.1543,0.1401,0.1508,1519689600,1331907.93,197255.56,2018-02-26 19:00:00
35,0.1431,0.1478,0.1382,0.1448,1519776000,1108310.53,158599.24,2018-02-27 19:00:00
36,0.1787,0.1792,0.143,0.1461,1519862400,2365045.36,422633.61,2018-02-28 19:00:00
37,0.1671,0.1822,0.1588,0.1751,1519948800,1075829.56,179771.12,2018-03-01 19:00:00
38,0.1625,0.1746,0.1484,0.1671,1520035200,1011349.41,164344.28,2018-03-02 19:00:00
39,0.1609,0.1718,0.1495,0.1642,1520121600,854401.3,137473.17,2018-03-03 19:00:00
40,0.1427,0.1605,0.1379,0.1597,1520208000,918698.66,131098.3,2018-03-04 19:00:00
41,0.1387,0.1528,0.1314,0.1362,1520294400,1069183.74,148295.78,2018-03-05 19:00:00
42,0.1296,0.1305,0.1197,0.1277,1520380800,950585.16,123195.84,2018-03-06 19:00:00
43,0.1097,0.1235,0.1057,0.1205,1520467200,1113375.83,122137.33,2018-03-07 19:00:00
44,0.1064,0.1148,0.1039,0.1119,1520553600,916786.34,97546.07,2018-03-08 19:00:00
45,0.1044,0.1085,0.101,0.1015,1520640000,491525.66,51315.28,2018-03-09 19:00:00
46,0.1083,0.1174,0.1073,0.1102,1520726400,438785.59,47520.48,2018-03-10 19:00:00
47,0.105,0.1129,0.1036,0.1076,1520812800,447259.22,46962.22,2018-03-11 20:00:00
48,0.1125,0.115,0.104,0.104,1520899200,487810.53,54878.68,2018-03-12 20:00:00
49,0.0997,0.1039,0.09614,0.09994,1520985600,736351.83,73414.28,2018-03-13 20:00:00
50,0.1017,0.1051,0.09537,0.09928,1521072000,766539.35,77957.05,2018-03-14 20:00:00
51,0.103,0.1043,0.09633,0.1002,1521158400,687475.23,70809.95,2018-03-15 20:00:00
52,0.09478,0.09599,0.08995,0.09429,1521244800,435049.73,41234.01,2018-03-16 20:00:00
53,0.09571,0.09721,0.08727,0.09259,1521331200,894602.85,85622.44,2018-03-17 20:00:00
54,0.1016,0.1031,0.09555,0.1005,1521417600,425961.95,43277.73,2018-03-18 20:00:00
55,0.1082,0.1108,0.09852,0.102,1521504000,619540.7,67034.3,2018-03-19 20:00:00
56,0.1176,0.1232,0.1082,0.1082,1521590400,749761.03,88171.9,2018-03-20 20:00:00
57,0.1131,0.1151,0.1063,0.1139,1521676800,434738.19,49168.89,2018-03-21 20:00:00
58,0.1099,0.1158,0.1069,0.1132,1521763200,176002.22,19342.64,2018-03-22 20:00:00
59,0.111,0.1119,0.1008,0.1051,1521849600,911626.95,101190.59,2018-03-23 20:00:00
60,0.1382,0.1469,0.1064,0.1116,1521936000,1176632.47,162610.61,2018-03-24 20:00:00
61,0.1066,0.1313,0.1043,0.1284,1522022400,1442237.28,153742.49,2018-03-25 20:00:00
62,0.1123,0.1184,0.09698,0.09837,1522108800,708757.97,79593.52,2018-03-26 20:00:00
63,0.1113,0.12,0.1038,0.1116,1522195200,1394819.96,155243.46,2018-03-27 20:00:00
64,0.09367,0.1005,0.09244,0.09582,1522281600,718679.74,67318.73,2018-03-28 20:00:00
65,0.0905,0.1012,0.08865,0.09609,1522368000,323901.21,29313.06,2018-03-29 20:00:00
66,0.09123,0.09379,0.08654,0.09056,1522454400,284142.51,25922.32,2018-03-30 20:00:00
67,0.08335,0.09017,0.08047,0.08679,1522540800,163803.58,13653.03,2018-03-31 20:00:00
68,0.08705,0.09529,0.08078,0.08463,1522627200,355576.0,30952.89,2018-04-01 20:00:00
69,0.09105,0.1018,0.0866,0.09412,1522713600,674650.05,61426.89,2018-04-02 20:00:00
70,0.08183,0.0866,0.08145,0.08289,1522800000,438001.09,35841.63,2018-04-03 20:00:00
71,0.08218,0.08504,0.08199,0.08241,1522886400,505908.78,41575.58,2018-04-04 20:00:00
72,0.07848,0.08437,0.07848,0.07981,1522972800,433812.91,34045.64,2018-04-05 20:00:00
73,0.08462,0.08508,0.07881,0.08158,1523059200,435311.07,36836.02,2018-04-06 20:00:00
74,0.08872,0.09193,0.07774,0.08816,1523145600,1012473.21,89826.62,2018-04-07 20:00:00
75,0.09377,0.09912,0.08371,0.08838,1523232000,984736.19,92338.71,2018-04-08 20:00:00
76,0.09144,0.1062,0.08625,0.09768,1523318400,1204903.74,110176.4,2018-04-09 20:00:00
77,0.1072,0.1093,0.09125,0.09469,1523404800,857422.63,91915.71,2018-04-10 20:00:00
78,0.1215,0.1249,0.1155,0.123,1523491200,796021.43,96716.6,2018-04-11 20:00:00
79,0.1203,0.1286,0.1157,0.1218,1523577600,1624114.64,195380.99,2018-04-12 20:00:00
80,0.1164,0.1249,0.1144,0.1222,1523664000,397810.63,46305.16,2018-04-13 20:00:00
81,0.1411,0.1429,0.1216,0.1237,1523750400,857275.81,120961.62,2018-04-14 20:00:00
82,0.128,0.1451,0.1242,0.1352,1523836800,1084984.22,138877.98,2018-04-15 20:00:00
83,0.1208,0.1346,0.1208,0.1259,1523923200,377841.67,45643.27,2018-04-16 20:00:00
84,0.12,0.1392,0.1172,0.126,1524009600,616096.13,73931.54,2018-04-17 20:00:00
