,close,high,low,open,time,volumefrom,volumeto,timestamp
0,14.12,15.8,10.21,10.5,1501891200,167756.22,2170085.32,2017-08-04 20:00:00
1,15.97,17.25,13.3,14.12,1501977600,150858.48,2340063.31,2017-08-05 20:00:00
2,19.49,19.93,17.41,18.2,1502064000,97984.6,1840059.23,2017-08-06 20:00:00
3,18.25,20.29,15.68,19.49,1502150400,290834.95,5170450.88,2017-08-07 20:00:00
4,22.6,23.0,17.26,18.25,1502236800,190636.74,3816168.88,2017-08-08 20:00:00
5,37.6,41.72,21.51,22.6,1502323200,413255.22,11987790.71,2017-08-09 20:00:00
6,34.1,40.99,27.75,37.6,1502409600,401554.82,13792663.98,2017-08-10 20:00:00
7,37.72,38.56,30.7,34.1,1502496000,147955.0,5043840.57,2017-08-11 20:00:00
8,48.5,56.69,35.31,37.72,1502582400,319807.81,14965636.31,2017-08-12 20:00:00
9,48.32,54.8,45.4,48.5,1502668800,230083.03,11403353.7,2017-08-13 20:00:00
10,47.5,49.5,36.54,48.32,1502755200,306074.3,13185942.28,2017-08-14 20:00:00
11,45.99,52.3,44.62,47.5,1502841600,177281.25,8417712.29,2017-08-15 20:00:00
12,40.39,46.73,38.63,45.99,1502928000,265517.14,11139492.6,2017-08-16 20:00:00
13,38.88,41.76,30.54,40.39,1503014400,335720.01,12339332.48,2017-08-17 20:00:00
14,39.82,42.0,34.07,38.88,1503100800,184636.87,7072540.46,2017-08-18 20:00:00
15,38.5,41.2,37.99,39.82,1503187200,85218.19,3378503.5,2017-08-19 20:00:00
16,35.46,38.69,34.0,38.5,1503273600,105246.72,3771368.49,2017-08-20 20:00:00
17,35.6,36.36,31.5,35.46,1503360000,121092.39,4154705.05,2017-08-21 20:00:00
18,39.88,44.39,35.11,35.6,1503446400,173294.47,7045911.89,2017-08-22 20:00:00
19,41.9,42.28,39.36,39.88,1503532800,54776.58,2245817.75,2017-08-23 20:00:00
20,40.31,42.6,39.29,41.9,1503619200,61872.78,2530672.74,2017-08-24 20:00:00
21,38.82,40.87,37.0,40.31,1503705600,40479.95,1575063.61,2017-08-25 20:00:00
22,40.0,41.13,37.0,38.82,1503792000,46485.9,1786450.78,2017-08-26 20:00:00
23,38.5,40.35,37.0,40.0,1503878400,40658.59,1549664.87,2017-08-27 20:00:00
24,33.3,38.71,28.1,38.5,1503964800,229566.8,7818803.67,2017-08-28 20:00:00
25,33.33,36.02,30.0,33.3,1504051200,116857.11,3867898.99,2017-08-29 20:00:00
26,33.06,35.3,32.7,33.33,1504137600,52334.19,1766185.24,2017-08-30 20:00:00
27,31.8,33.85,28.7,33.06,1504224000,143907.95,4515460.25,2017-08-31 20:00:00
28,31.35,34.09,27.29,31.8,1504310400,175635.37,5412925.43,2017-09-01 20:00:00
29,30.81,32.88,28.45,31.35,1504396800,86996.61,2654754.8,2017-09-02 20:00:00
30,21.81,30.81,16.5,30.81,1504483200,766813.91,16213256.19,2017-09-03 20:00:00
31,23.4,24.5,18.5,21.81,1504569600,370693.64,8145666.37,2017-09-04 20:00:00
32,21.3,24.67,20.1,23.4,1504656000,270340.67,5931400.72,2017-09-05 20:00:00
33,30.98,34.0,20.21,21.3,1504742400,600806.07,17018229.87,2017-09-06 20:00:00
34,25.81,31.3,22.43,30.98,1504828800,744402.4,19386202.68,2017-09-07 20:00:00
35,22.6,25.96,22.27,25.81,1504915200,282124.65,6741323.97,2017-09-08 20:00:00
36,23.68,24.92,19.63,22.6,1505001600,421650.07,9391167.92,2017-09-09 20:00:00
37,21.96,24.54,21.52,23.68,1505088000,233744.48,5312923.03,2017-09-10 20:00:00
38,20.87,23.84,19.56,21.96,1505174400,405677.48,8759410.01,2017-09-11 20:00:00
39,20.03,21.4,17.64,20.87,1505260800,466251.68,8878917.78,2017-09-12 20:00:00
40,15.67,20.84,14.75,20.03,1505347200,805999.95,13695390.93,2017-09-13 20:00:00
41,18.72,19.28,13.12,15.67,1505433600,1125007.09,18778973.37,2017-09-14 20:00:00
42,20.62,23.25,18.23,18.72,1505520000,739488.51,15062615.05,2017-09-15 20:00:00
43,19.8,20.62,18.17,20.62,1505606400,314030.54,6088818.83,2017-09-16 20:00:00
44,21.07,21.41,19.45,19.8,1505692800,425986.21,8759345.86,2017-09-17 20:00:00
45,19.96,21.77,18.89,21.07,1505779200,441649.44,9024766.47,2017-09-18 20:00:00
46,19.69,20.53,19.55,19.96,1505865600,181175.5,3627862.41,2017-09-19 20:00:00
47,17.26,19.89,16.57,19.69,1505952000,427743.03,7628628.54,2017-09-20 20:00:00
48,18.56,19.36,16.97,17.26,1506038400,322903.92,5831259.77,2017-09-21 20:00:00
49,20.05,20.62,18.22,18.56,1506124800,207530.57,4085429.36,2017-09-22 20:00:00
50,19.65,20.44,19.14,20.05,1506211200,109610.99,2157644.39,2017-09-23 20:00:00
51,25.94,27.42,19.59,19.65,1506297600,1082496.9,26188348.95,2017-09-24 20:00:00
52,26.39,27.38,24.32,25.94,1506384000,801819.68,20942064.55,2017-09-25 20:00:00
